base_item,current_year_available_n,prior_year_available_in_stage1b_n,prior_year_available_in_raw_n,lag_coverage_stage1b_rate,lag_coverage_raw_rate,needs_prior_year_support_extraction,decision
평균총자산,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
평균자기자본,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
평균부채총계,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
평균재고자산,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
평균매출채권,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
평균유동자산,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
평균비유동자산,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
평균유형자산,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
평균매입채무,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
평균순영업운전자본,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
평균자본금,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
평균현금성자산,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
매출액증가율,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
자기자본증가율,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
정상영업이익증가율,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
순이익증가율,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
총포괄이익증가율,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
총자산증가율,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
총차입금증가율,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
EBITDA증가율,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
OCF증가율,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
FCF증가율,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
순차입금증가율,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
영업이익증가율,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
비유동자산증가율,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
유형자산증가율,4924,3631,4849,0.7374,0.9848,True,extract_from_raw
