year,n_total,n_original_dev,n_original_oot,n_stage3_dev,n_stage3_oot,n_mismatch_original_vs_stage3,notes
2002,6,6,0,6,0,0,"Dev=6, OOT=0"
2003,16,16,0,16,0,0,"Dev=16, OOT=0"
2004,25,25,0,25,0,0,"Dev=25, OOT=0"
2005,56,56,0,56,0,0,"Dev=56, OOT=0"
2006,51,51,0,51,0,0,"Dev=51, OOT=0"
2007,62,62,0,62,0,0,"Dev=62, OOT=0"
2008,73,73,0,73,0,0,"Dev=73, OOT=0"
2009,95,95,0,95,0,0,"Dev=95, OOT=0"
2010,98,98,0,98,0,0,"Dev=98, OOT=0"
2011,150,150,0,150,0,0,"Dev=150, OOT=0"
2012,125,125,0,125,0,0,"Dev=125, OOT=0"
2013,194,194,0,194,0,0,"Dev=194, OOT=0"
2014,196,196,0,196,0,0,"Dev=196, OOT=0"
2015,212,212,0,212,0,0,"Dev=212, OOT=0"
2016,207,207,0,207,0,0,"Dev=207, OOT=0"
2017,252,252,0,252,0,0,"Dev=252, OOT=0"
2018,260,260,0,260,0,0,"Dev=260, OOT=0"
2019,347,347,0,347,0,0,"Dev=347, OOT=0"
2020,354,0,354,0,354,0,"Dev=0, OOT=354"
2021,415,0,415,0,415,0,"Dev=0, OOT=415"
2022,543,0,543,0,543,0,"Dev=0, OOT=543"
2023,585,0,585,0,585,0,"Dev=0, OOT=585"
2024,602,0,602,0,0,602,out_of_scope
