action_dim,source_column,source_method,observed_count,observed_rate,nonzero_rate
ppe_pct,action__ppe_pct,direct_data_raw_all_xlsx_stage2a_broad_panel,37971,0.931735086987461,0.9313424778543911
inv_turnover_chg,action__inv_turnover_chg,direct_data_raw_all_xlsx_stage2a_broad_panel,32427,0.7956960223787206,0.7811204083134984
ar_turnover_chg,action__ar_turnover_chg,direct_data_raw_all_xlsx_stage2a_broad_panel,36033,0.8841803057443623,0.8841803057443623
ap_turnover_chg,action__ap_turnover_chg,direct_data_raw_all_xlsx_stage2a_broad_panel,33409,0.8197924079208893,0.8028120629156136
short_debt_pct,action__short_debt_pct,direct_data_raw_all_xlsx_stage2a_broad_panel,27887,0.68429318087012,0.641621475719579
long_debt_pct,action__long_debt_pct,direct_data_raw_all_xlsx_stage2a_broad_panel,21828,0.5356170097906903,0.5163055480578117
bond_pct,action__bond_pct,direct_data_raw_all_xlsx_stage2a_broad_panel,11041,0.27092483988908794,0.2529629720511373
revenue_growth,action__revenue_growth,direct_data_raw_all_xlsx_stage2a_broad_panel,37140,0.9113439501386401,0.9112212597845557
cogs_ratio_chg,action__cogs_ratio_chg,direct_data_raw_all_xlsx_stage2a_broad_panel,37054,0.9092336760483891,0.8487473314847986
sga_ratio_chg,action__sga_ratio_chg,direct_data_raw_all_xlsx_stage2a_broad_panel,37054,0.9092336760483891,0.9092336760483891
